query_id,query,query_type,relevant_document_ids
Q01,বাংলাদেশ বাজেট,lexical,
Q02,ক্রিকেট ম্যাচ,lexical,
Q03,শেয়ার বাজার,lexical,
Q04,প্রধানমন্ত্রী বক্তব্য,lexical,
Q05,বিশ্ববিদ্যালয় ভর্তি,lexical,
Q06,ডেঙ্গু রোগী,lexical,
Q07,বন্যা পরিস্থিতি,lexical,
Q08,রপ্তানি আয়,lexical,
Q09,দেশের অর্থনৈতিক অবস্থা,semantic,
Q10,জাতীয় দলের জয়ের খবর,semantic,
Q11,পুঁজিবাজারে দরপতন,semantic,
Q12,শিক্ষাপ্রতিষ্ঠানে নতুন শিক্ষার্থী নেওয়া,semantic,
Q13,মশাবাহিত রোগের প্রকোপ,semantic,
Q14,অতিরিক্ত বৃষ্টিতে ক্ষয়ক্ষতি,semantic,
Q15,বিদেশে পণ্য বিক্রি থেকে আয়,semantic,
Q16,নতুন প্রযুক্তি নিয়ে গবেষণা,semantic,
Q17,বাংলাদেশের বাজেট ও মূল্যস্ফীতি,mixed,
Q18,ক্রিকেট দলের সাম্প্রতিক জয়,mixed,
Q19,শেয়ার বাজার বিনিয়োগকারীদের অবস্থা,mixed,
Q20,বিশ্ববিদ্যালয় ভর্তি পরীক্ষার নতুন নিয়ম,mixed,
Q21,ডেঙ্গু আক্রান্ত রোগীর সংখ্যা,mixed,
Q22,বন্যায় মানুষের দুর্ভোগ,mixed,
Q23,রপ্তানি আয় বৃদ্ধি,mixed,
Q24,কৃত্রিম বুদ্ধিমত্তা প্রযুক্তি গবেষণা,mixed,
